Title ID	Region	Name	PKG direct link	zRIF	Content ID	Last Modification Date	Original Name	File Size	SHA256	Required FW	App Version
PCSG90072	JP	Kajiri Kamui Kagura: Akebono no Hikari (DEMO)	http://zeus.dl.playstation.net/cdn/JP0061/PCSG90072_00/ceUaDjJCPfUMmgDNpHWVipptrJIveejenJNbmrYxUUMuyxqocUcSBetcGnsknmwSkMDXiuBXmcqPQTTQlKICTqijKJjxZVnRbfmfF.pkg	KO5ifR1dQ+d7BQDdAzbV3RLoKCOQ/d6OXp5Bnt6OvqGeIUGejj74/Hf+V/WUJQd2zTTxX2t4KjTixWiMD24AAEjPFmsA	JP0061-PCSG90072_00-KAJIRIKAMUITRIAL		神咒神威神楽 曙之光 体験版	369369456		2.05	1
PCSG90075	JP	Toukiden Demo 1 (DEMO)	http://zeus.dl.playstation.net/cdn/JP0106/PCSG90075_00/LKEsmfWZtFPAsJJfDsEboEJUViUzQpzuGeAgoAFlJiqaQFkPvZfXaOOsgVhPHEBadMzbwVcTsTBbOGOghKmDWydJctRGDwqFKclMm.pkg	KO5ifR1dQ+d7BRgYGpiBbbEEOsoUZH+At3tIkKejD8xSfP6bILDcc89F4V9uSreW5vxwvToa44MbAACN4RTf	JP0106-PCSG90075_00-PKGTRIAL00000000		討鬼伝 アクション体験版	370396672		2.05	1
PCSH00106	ASIA	Toukiden: Kiwami (KOR) (DEMO)	http://zeus.dl.playstation.net/cdn/KP5014/PCSH00106_00/KP5014-PCSH00106_00-PKGTOUKIDENDEMO0_bg_1_1ba49bb13e184fe2aae7edfc016db3e60d2b1c5a.pkg	KO5ifR1dg/J5YXzvAFMDQxOQag+g6QZmIPsDvN1D/EO9PV1c/Vxcff0N8PnvwT5TcbtH58s23daI/3dzDctojA9uAACFLRX4	KP5014-PCSH00106_00-PKGTOUKIDENDEMO0		토귀전 극 체험판	1691183584		3.35	1
PCSH00271	ASIA	Dragon Quest Builders (KOR) (DEMO)	http://zeus.dl.playstation.net/cdn/HP0082/PCSH00271_00/HP0082-PCSH00271_00-BUILDERS00000000_bg_1_f3f46ff525f97dab500dca8d9f424c5d30f69ff2.pkg	KO5ifR1dg/J5YXyPAKArwLZ4AG0zNwTZ7xTq6ePiGhQMsxSf/84V37wv1Cik82nZ5ewX0mozRmN8cAMASAoUrwAA	HP0082-PCSH00271_00-BUILDERS00000000		드래곤 퀘스트 빌더즈 아레프갈드를 부활시켜라 체험판	220549936		3.57	1
PCSG90055	JP	天使憑きの少女 (DEMO)	http://ares.dl.playstation.net/cdn/JP0055/PCSG90055_00/jsxRAtLUksDwptiWuVgubdtuHiCFzEcnvFhMlekYtJNOvvJgJPVWghMtOwWWHmKHLkYGjLQUiZDZsgNPAuiTSPvjRdSmahThyHaLr.pkg	MISSING	JP0055-PCSG90055_00-TENSHITSUKIJDEMO		天使憑きの少女 体験版	79945760		1.8	1
PCSB00087	EU	EA SPORTS FIFA Football Demo	http://ares.dl.playstation.net/cdn/EP0006/PCSB00087_00/sOGEJdWeYNGsfXfxyABqXiSvtHxdAbTfyHjQrjLFySUxDOyXKRVejYvkKUrguTVm.pkg	KO5ifR1dg/J5YXzXAJCDYKotzEH2u3m6OYZ5hjgaGRgagezE5z8X5YrJa31yLTaqNEjdPxFQOxrjgxsAAL6FEy8A	EP0006-PCSB00087_00-FIFAVITA20120001		EA SPORTS FIFA Football Demo	1650100720		1.5	1
PCSE00073	US	RIDGE RACER 2011 E3 INTERACTIVE DEMO	http://ares.dl.playstation.net/cdn/UP0700/PCSE00073_00/iATliSqOsulZVzWlcLfldrUIhxABpRDYlQwImAHMdOzENyTVQpUIrLNSTFlKrckBbTTZpTivDmYqvWnimuVRvMwyMZiSurymKTPEX.pkg	KO5ifR1dg/J5YfzQAJBLYKaaG4PsD/J0cXcNcnR2DTIyMDR0Ncbnv7dW52fP9LCL/BTZ7PTw0Jv00Rgf3AAA2f8VngAA	UP0700-PCSE00073_00-RIDGERACER2011E3		RIDGE RACER 2011 E3 INTERACTIVE DEMO	69588816		1.6	1
NPUB30304	US	PAC-MAN Championship Edition DX+ Demo	http://ares.dl.playstation.net/cdn/UP0700/NPUB30304_00/kr3NoQWKw28DeUOBPdFPc2hs3h90s6JP7OaJDWaA2RIVYwiBWLEDmFthv9OE2BALg6PK7D2kkpVqxJqeiW3fegsoMkFLM3fAL6GpA.pkg	MISSING	UP0700-NPUB30304_00-PCEDX00001DEMONA		PAC-MAN Championship Edition DX Trial	260005456		3.4	1
PCSC90027	JP	SSGC DEMO	MISSING	KO5ifR1dQ+d7BVjCTAEyjMxB9gf7h/oEOzqHBHk6+ngFAM3AA17MZ3aebhetv+ScA1uNlsPV0Rgf3AAAmY8TnAAA	JP9000-PCSC90027_00-SOULSACTRIALJP00		SSGC DEMO	0		0	0
PCSH00114	ASIA	The Legend of Heroes: Trails of Cold Steel II (KOR) (DEMO)	http://zeus.dl.playstation.net/cdn/HP0425/PCSH00114_00/uPCRLMuKxKhOvgeGpPgQXIXABEZLpVUpjHsvKxDKIbgmHdMbPXPhbJkjUUzuJvCOTthqRHVhshpVbzHreTPpevZBZRvmxzuMctYZW.pkg	KO5ifR1dQ+d7BBiYGJmCVHsATTc0Adnv6hLs6ufn7+0Z7OrtaeTngs9/Wz+2SZz7vlqc48vMl7znpPJGY3xwAwD1pRWi	HP0425-PCSH00114_00-EDSENNOKISEKI2ND		영웅전설 섬의 궤적Ⅱ 체험판	938244224		3.15	1
