Title ID	Region	Name	PKG direct link	zRIF	Content ID	Last Modification Date	Original Name	File Size	SHA256	Required FW	App Version
PCSG01101	JP	Samurai Shodown V Special (3.61+!) [3.65]	http://zeus.dl.playstation.net/cdn/JP0576/PCSG01101_00/JP0576-PCSG01101_00-SSVS000000000PSV_bg_1_f264cd62525f5228d246e19e0d8dd420f4c7c4c8.pkg	KO5ifR1dQ+d7BRiYmptBbDE0NDAE2R8cHBYMtzEgOAyf/6S9FOSly55t2PqHqf1v/brQ0Rgf3AAA7WcT5wAA	JP0576-PCSG01101_00-SSVS000000000PSV		サムライスピリッツ零 SPECIAL	198680640	7df34394a3fabccaf6b02f5cdce7be616da9698f46dc30c1cbb0bdc9b2636547	3.65	1
PCSH10056	ASIA	Rainbow Skies (ENG) (ASIA)	MISSING	KO5ifR1dQ+d7BBgBrQWp9jAEMsxA9gc5evo5+YcHe3u6BoPsxOc/pkNHS32dowOK4yTj31z5fWM0xgc3AAB+2xTP	HP2005-PCSH10056_00-RAINBOWSKIES0001			3552574128			1
PCSF00448	EU	Invizimals: (PCSF00448) Greek	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00448_00/LnmbaKpTBISdxcbOGngmrcKQSTUnIMwuRyRLTjcKPzJEesAznqkiRFgCkoZlGpmQ.pkg	KO5ifR1dQ+e7BlgiTDMxsQDZ7+kX5hnl6evoE2ziHuTq6o3Pf0l7NGe5zMmtjmTx12N7yC01yKODeaSnRwABHRKj	EP9000-PCSF00448_00-INVIZIMALS4GREEK		Invizimals: (PCSF00448) Greek	1442131552		2.61	1
PCSC80020	JP	TSUTAYA TV	http://zeus.dl.playstation.net/cdn/JA0003/PCSC80020_00/XxSkcESfbaJyNzueJuXlkIGzCpjAWgvBmrmlNOeiTJRPhQZvCWhbYsFllnpNHlQTRsOBeIoqprDbPajPXsCRowKTqbfJcWMsEWSRp.pkg	KO5ifR1dQ+d7gRQbg02xAFoHtj8kODTEMdIRbik+/6VmW7FoJ8xufhV/ZKO+0bbfozE+uAEAjbUTsgAA	JA0003-PCSC80020_00-TSUTAYA000000000		TSUTAYA TV	20705968		3	1
PCSE01497	US	Astro Aqua Kitty	http://zeus.dl.playstation.net/cdn/UP4501/PCSE01497_00/UP4501-PCSE01497_00-ASTROCATSVT000US_bg_1_72cd5036a324e9fa66d4443d79812202eeaf6f3b.pkg	KO5ifR1dQ+eHBpiYwkw1NLE0B9sfHBLk7+wYEhwGckNoMD7/BZWpzC3P03+3ufpnlPhP15TRGB/cAACmqxTZ	UP4501-PCSE01497_00-ASTROCATSVT000US		Astro Aqua Kitty	215491680		3.69	1
PCSH00244	ASIA	Mr. Pumpkin Adventure (ASIA)	MISSING	KO5ifR1dQ+d7BBiamVqAVHsAbTMxAdkf5hni6BsUEOob4O3pBzIDD3j//Nq+XHa9LffftX9rXCPYOxrjgxsAAOwiFs8A	HP1658-PCSH00244_00-VITAMRPUMPKIN000		Mr. Pumpkin Adventure	439674496			1
PCSB01448	EU	Xeno Crisis	http://zeus.dl.playstation.net/cdn/EP2492/PCSB01448_00/EP2492-PCSB01448_00-XENOCRISIS000000_bg_1_5f696ffd02ba138570c6f49286b18f60e5e41ceb.pkg	KO5ifR1dQ+e7BhiZWBpBVBuamFiA7I9w9fN3DvIM9gyGWIrPfz7li+t2+xQ+quVLY3i+8vX60Rgf3AAAsrcU7gAA	EP2492-PCSB01448_00-XENOCRISIS000000		Xeno Crisis	183723216		3.69	1
PCSB01467	EU	ScourgeBringer	http://zeus.dl.playstation.net/cdn/EP1302/PCSB01467_00/EP1302-PCSB01467_00-THELASTVITAGAME0_bg_1_c93cbacfa50ebe5e370c0d4dffd75095539cb48b.pkg	KO5ifR1dQ+e7BhgaQ2xxMjA0MTMH2R/i4erjGBwS5hni6O7o62qAz3/qy80iV0ky8SX3zTfyKujbORrjgxsAAGgSEuoA	EP1302-PCSB01467_00-THELASTVITAGAME0		ScourgeBringer	376321328		3.69	1
PCSD00021	ASIA	Unit 13 (ASIA)	http://zeus.dl.playstation.net/cdn/HP9000/PCSD00021_00/qXijFbcLYlFVTbjBiDWWWhdhAprSCSmDzoFfnXPWjCHdexEPXoSSidnhJKeixWTVaVhafsbWPqvDzdXYvBDyGEdlRXIXQhdiCzuCn.pkg	KO5ifR1dQ+d7BFgi6TYyBNkf6ucZYmgc5RkQ4BpkYAg0Aw9w37LuzVTZ8/FXLf2n5xw4vIWy0GLZMJpiaAsA4dgWXAAA	HP9000-PCSD00021_00-UNIT13ZIPPER0100		Unit 13 (ASIA)	923915680		1.51	1
PCSH00267	ASIA	A Rose in the Twilight (KOREA)	http://zeus.dl.playstation.net/cdn/HP0404/PCSH00267_00/HP0404-PCSH00267_00-ROSE000000000000_bg_1_9ea5b8558f6552d723eaba837edcad3cdc71ebbc.pkg	KO5ifR1dQ+d7BABtNgGp9gDaZmYOsj/IH2wFHODzH4+R4hLpOJnj29bXKKi4KlSPxvjgBgCKdxFJ	HP0404-PCSH00267_00-ROSE000000000000		Rose to Tasogare no Kojo (로제와 황혼의 고성)	935859600		3.6	1
